signal,zone,background,event,true_x,true_y,est_x,est_y,error_m,nearest_dist,snr_nearest,method
chainsaw,outside,noisy,48,93.08188634990171,-200.91594115016602,-4.860298741657131e-07,-1.793166035260015e-05,221.43045377653374,143.3479490490147,4.754772874388564,median_gcc
chainsaw,outside,noisy,49,294.6856642458822,-21.83740662546802,-5.3566330456720715e-06,2.957340979730814e-05,295.49368434676035,197.96754028273497,-0.7802567555550795,median_gcc
engine,inside,quiet,0,-48.90015989295402,34.63430588751987,-3.006373172563666e-08,-6.310252594400514e-07,59.922957392278,94.47562534462485,5.81982322793219,demon
engine,inside,quiet,1,31.641342412949754,-47.97513815765051,1.1516762374116176e-06,-2.4402278169587478e-06,57.46988884552933,69.05187539623212,9.813896666558776,demon
engine,inside,quiet,2,4.282521674171825,40.66555704372695,-7.729688905227627e-07,3.386836106940522e-06,40.89042984283404,74.9269826732864,8.810885990091442,demon
engine,inside,quiet,3,-31.861201296871954,-14.735507844290183,8.32332020944293e-07,-4.4487280258988914e-07,35.10372315633025,80.57204558256244,7.897709925726602,demon
engine,inside,quiet,4,-16.89463214813189,-14.40595246002485,2.2248805037970202e-07,-8.019020187413218e-07,22.202703576694688,93.72252055542725,5.926994773944941,demon
engine,inside,quiet,5,-45.811396954489794,-22.09823162346336,-1.2031988067528752e-06,1.6675751712583494e-08,50.86271544365919,64.85665639668139,10.568076071996423,demon
engine,inside,quiet,6,-20.51436872997644,36.587204848959104,1.0063490801552507e-07,5.207775721368605e-07,41.94595152181512,81.5067064050895,7.7507977969957125,demon
engine,inside,quiet,7,-14.788399286829744,-5.278326010644861,-4.722757638367977e-07,-1.319567415118135e-07,15.702148374662949,100.06359161196173,5.041298677664116,demon
engine,inside,quiet,8,-11.92619401196113,-37.93265503984182,-2.0353693799125414e-07,-1.0626741040441462e-06,39.76330389325859,90.27252756657312,6.425261570338968,demon
engine,inside,quiet,9,49.0356757725624,32.58251907047308,5.523950922479724e-07,4.681579440664635e-06,58.8737436231143,96.30597550670176,5.56163653117207,demon
engine,inside,quiet,10,4.092030702736679,-2.36355056108286,7.480106020795724e-07,-3.1728659960297504e-06,4.725575669346779,110.74447601924005,3.626334746136962,demon
engine,inside,quiet,11,14.92547254630091,-17.35688514767618,7.454974486839895e-07,-3.4338175299087926e-07,22.89172685897956,94.17042823717169,5.863187680837314,demon
engine,inside,quiet,12,-44.97171296455215,-9.56831863853128,-8.376868981148465e-07,3.74550895722361e-07,45.978338599363816,73.13100683450082,9.111418605581655,demon
engine,inside,quiet,13,48.397757740786076,-31.765319412227722,-1.223156174372494e-06,5.974081775329567e-07,57.891092821317756,57.7686516561012,11.92772279620872,demon
engine,inside,quiet,14,2.7705292152972376,-49.147860367842135,1.6129174401158927e-06,-6.560938911229347e-07,49.22588686292239,97.60793727177133,5.379900436116145,demon
engine,inside,quiet,15,-37.79684848214152,8.71917004671171,1.3859108898420947e-06,-1.3714602663084248e-06,38.78950644397993,91.02413060890115,6.315662677843989,demon
engine,inside,quiet,16,-20.258607049216504,40.56844864606248,8.000338769935846e-07,1.4207278859495032e-06,45.345452939236004,77.59292248583137,8.373911683927965,demon
engine,inside,quiet,17,-9.383023404276528,-29.19664028689475,-7.113842177628522e-07,-8.033477315440261e-07,30.667325804307566,95.00461019819662,5.744875882195856,demon
engine,inside,quiet,18,4.559176928470357,29.49736351759627,-5.000364125977771e-07,-2.8586961902909203e-07,29.84762252137723,86.0934932220796,7.045918747576593,demon
engine,inside,quiet,19,-48.05803038026052,0.5520118630041324,-9.063477038827275e-07,-3.1073547408274573e-07,48.06119967661471,78.07270392364049,8.296380389373887,demon
engine,inside,quiet,20,27.342655672714628,-39.64113453679708,3.07929462226211e-06,5.190788830681361e-07,48.15641431172649,74.87642236532868,8.819277173573525,demon
engine,inside,quiet,21,40.27985189331454,-23.548259003315064,1.851000343728711e-07,-1.4751493616915572e-06,46.65819205936471,68.81301614086388,9.855937316765342,demon
engine,inside,quiet,22,-32.939639228717326,8.925607290267457,1.813383426590916e-06,1.3824672317454272e-06,34.12750200064175,94.55544479273183,5.808496922156202,demon
engine,inside,quiet,23,-32.49688541819711,17.97015203711821,-2.5848137123678846e-06,-4.008509780457057e-06,37.13453786154971,101.42950556428947,4.855238552848682,demon
engine,inside,quiet,24,-0.9897918001570005,-39.004403823782006,-6.682370668135543e-07,-5.513976887178678e-07,39.016959916421115,100.76635137440458,4.9453717597357,demon
engine,inside,quiet,25,41.249013458204814,17.32054099635502,6.681644151607157e-07,8.08823910232276e-07,44.73792762903526,95.31535392960072,5.7009750064296725,demon
engine,inside,quiet,26,4.599302653376803,-12.565938464986928,5.533796616737273e-07,-2.191506311870805e-06,13.38119330389536,105.553491680688,4.30287333148172,demon
engine,inside,quiet,27,-36.51400953295283,20.751837106132214,-4.94125550859987e-07,-1.4556492655714092e-06,41.99894831756863,100.9487930095042,4.920537735827764,demon
engine,inside,quiet,28,31.36558200290594,-37.41811500616874,4.54871193450404e-07,-1.1681452030819255e-06,48.82535149941786,71.57835038244492,9.375448775281917,demon
engine,inside,quiet,29,-0.5432375461857575,-1.515381300751038,-8.083423719213274e-06,-2.6112086394008645e-06,1.6098045912258947,114.2466461268414,3.180798501749784,demon
engine,inside,quiet,30,-15.00882917800324,28.934189539180508,-8.394947390752589e-07,-1.946213737869275e-06,32.59528133040543,87.8277903810931,6.785971347448864,demon
engine,inside,quiet,31,-40.0470216193153,-29.498077512791,-1.3776372726590938e-06,-1.7091982065518595e-07,49.7383192026468,66.26978895757507,10.310198801294177,demon
